,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__batch_size,param_model__lambda_reg,param_model__learning_rate,param_model__loss_function,param_model__max_epochs,param_model__optimizer,param_model__optimizer_kw_args,param_model__random_state,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
88,0.306194543838501,0.008661296421771547,0.005507151285807292,0.0036400135966507137,128,1e-05,1e-05,cross_entropy,100,gd,{'friction': 0.9},42,"{'model__batch_size': 128, 'model__lambda_reg': 1e-05, 'model__learning_rate': 1e-05, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 100, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.9}, 'model__random_state': 42}",0.37037037037037035,0.30303030303030304,0.30303030303030304,0.3254769921436588,0.031744412174480235,136
89,0.29935550689697266,0.011243606326188843,0.0026699701944986978,0.0004662565462860562,128,1e-05,1e-05,cross_entropy,100,gd,{'friction': 0.99},42,"{'model__batch_size': 128, 'model__lambda_reg': 1e-05, 'model__learning_rate': 1e-05, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 100, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.99}, 'model__random_state': 42}",0.5622895622895623,0.5016835016835017,0.4713804713804714,0.5117845117845118,0.03779451905832262,110
90,0.3128785292307536,0.008277584866048137,0.002504269282023112,0.00040825663637006766,128,1e-05,1e-05,cross_entropy,100,gd,{'friction': 0.5},42,"{'model__batch_size': 128, 'model__lambda_reg': 1e-05, 'model__learning_rate': 1e-05, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 100, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.5}, 'model__random_state': 42}",0.38047138047138046,0.2962962962962963,0.2727272727272727,0.31649831649831645,0.04624780646023909,148
91,0.3281291325887044,0.016675508692022813,0.0023337999979654946,0.0004705846191846561,128,1e-05,1e-05,cross_entropy,100,gd,{'friction': 0},42,"{'model__batch_size': 128, 'model__lambda_reg': 1e-05, 'model__learning_rate': 1e-05, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 100, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0}, 'model__random_state': 42}",0.38047138047138046,0.2962962962962963,0.2727272727272727,0.31649831649831645,0.04624780646023909,148
92,0.6404014428456625,0.022197634787603573,0.002665837605794271,0.00047159658334802046,128,1e-05,1e-05,cross_entropy,200,gd,{'friction': 0.9},42,"{'model__batch_size': 128, 'model__lambda_reg': 1e-05, 'model__learning_rate': 1e-05, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 200, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.9}, 'model__random_state': 42}",0.3872053872053872,0.31986531986531985,0.32323232323232326,0.3434343434343434,0.030981310307165576,129
93,0.6002963383992513,0.009404491036803407,0.0028362274169921875,0.0010237702300244817,128,1e-05,1e-05,cross_entropy,200,gd,{'friction': 0.99},42,"{'model__batch_size': 128, 'model__lambda_reg': 1e-05, 'model__learning_rate': 1e-05, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 200, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.99}, 'model__random_state': 42}",0.5925925925925926,0.5757575757575758,0.5387205387205387,0.569023569023569,0.022502735865054344,101
94,0.5816934903462728,0.007952458669980638,0.002504269282023112,0.00040960026625188955,128,1e-05,1e-05,cross_entropy,200,gd,{'friction': 0.5},42,"{'model__batch_size': 128, 'model__lambda_reg': 1e-05, 'model__learning_rate': 1e-05, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 200, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.5}, 'model__random_state': 42}",0.37373737373737376,0.2962962962962963,0.26936026936026936,0.3131313131313131,0.04424332961712015,162
95,0.5975269476572672,0.018168942568593614,0.002332766850789388,0.00046979787969816136,128,1e-05,1e-05,cross_entropy,200,gd,{'friction': 0},42,"{'model__batch_size': 128, 'model__lambda_reg': 1e-05, 'model__learning_rate': 1e-05, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 200, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0}, 'model__random_state': 42}",0.38047138047138046,0.2962962962962963,0.2727272727272727,0.31649831649831645,0.04624780646023909,148
96,0.0754392941792806,0.00595716731853344,0.003009319305419922,0.0010797826274297354,32,1e-05,0.01,cross_entropy,10,newton,,42,"{'model__batch_size': 32, 'model__lambda_reg': 1e-05, 'model__learning_rate': 0.01, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 10, 'model__optimizer': 'newton', 'model__random_state': 42}",0.6161616161616161,0.6161616161616161,0.6161616161616161,0.6161616161616161,0.0,56
97,0.3559454282124837,0.004522619687621224,0.0020002524058024087,1.7663725829834038e-06,32,1e-05,0.01,cross_entropy,50,newton,,42,"{'model__batch_size': 32, 'model__lambda_reg': 1e-05, 'model__learning_rate': 0.01, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 50, 'model__optimizer': 'newton', 'model__random_state': 42}",0.6161616161616161,0.6161616161616161,0.6161616161616161,0.6161616161616161,0.0,56
98,0.6712172031402588,0.02123835440380403,0.002507289250691732,0.0004088991158669827,32,1e-05,0.01,cross_entropy,100,newton,,42,"{'model__batch_size': 32, 'model__lambda_reg': 1e-05, 'model__learning_rate': 0.01, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 100, 'model__optimizer': 'newton', 'model__random_state': 42}",0.6161616161616161,0.6161616161616161,0.6161616161616161,0.6161616161616161,0.0,56
99,1.349560260772705,0.03655285290842528,0.002361853917439779,0.0002582686491241447,32,1e-05,0.01,cross_entropy,200,newton,,42,"{'model__batch_size': 32, 'model__lambda_reg': 1e-05, 'model__learning_rate': 0.01, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 200, 'model__optimizer': 'newton', 'model__random_state': 42}",0.6161616161616161,0.6161616161616161,0.6161616161616161,0.6161616161616161,0.0,56
100,0.07109880447387695,0.003054490399595782,0.0021692911783854165,0.00023978764792104094,32,1e-05,1e-05,cross_entropy,10,newton,,42,"{'model__batch_size': 32, 'model__lambda_reg': 1e-05, 'model__learning_rate': 1e-05, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 10, 'model__optimizer': 'newton', 'model__random_state': 42}",0.7407407407407407,0.797979797979798,0.8047138047138047,0.7811447811447811,0.028701934573612645,41
101,0.3454354604085286,0.011785084610491617,0.0023345152537027993,0.00047092275890468587,32,1e-05,1e-05,cross_entropy,50,newton,,42,"{'model__batch_size': 32, 'model__lambda_reg': 1e-05, 'model__learning_rate': 1e-05, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 50, 'model__optimizer': 'newton', 'model__random_state': 42}",0.7744107744107744,0.8282828282828283,0.8148148148148148,0.8058361391694725,0.022891221160910354,18
102,0.6906396547953287,0.033130671632285114,0.0025063355763753257,0.0004077172568039875,32,1e-05,1e-05,cross_entropy,100,newton,,42,"{'model__batch_size': 32, 'model__lambda_reg': 1e-05, 'model__learning_rate': 1e-05, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 100, 'model__optimizer': 'newton', 'model__random_state': 42}",0.7845117845117845,0.8282828282828283,0.8148148148148148,0.809203142536476,0.018304721021661162,15
103,1.2950352032979329,0.017309643659463272,0.002667029698689779,0.0004709209483043148,32,1e-05,1e-05,cross_entropy,200,newton,,42,"{'model__batch_size': 32, 'model__lambda_reg': 1e-05, 'model__learning_rate': 1e-05, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 200, 'model__optimizer': 'newton', 'model__random_state': 42}",0.7912457912457912,0.8383838383838383,0.8181818181818182,0.8159371492704826,0.019309372092127117,4
